episode,total_reward,avg_waiting_time,avg_queue_length,throughput,num_completed,num_phase_changes
1,-579359614.9000001,321737.9297222222,214.205,0.0,0,0
2,-582358036.3,323403.2997222222,214.90444444444444,0.0,0,0
3,-596367808.7,331184.83777777775,217.68583333333333,0.0,0,0
4,-625870397.4000001,347571.81666666665,223.26611111111112,0.0,0,0
5,-580276857.4000003,322247.3613888889,214.45083333333332,0.0,0,0
6,-591456798.0,328457.16,216.58333333333334,0.0,0,0
7,-606543310.8,336836.8441666667,219.4363888888889,0.0,0,0
8,-605652913.1999998,336342.2825,219.26361111111112,0.0,0,0
9,-603705565.0,335260.6405555556,218.9,0.0,0,0
10,-595898783.6999999,330924.50166666665,217.29694444444445,0.0,0,0
