episode,total_reward,avg_waiting_time,avg_queue_length,throughput,num_phase_changes,epsilon,avg_loss
1,-232946140.4000007,129363.06027777778,85.72305555555556,0.0,255,0.9651160000000161,79362.8114453125
2,-232662071.40000072,129205.25638888888,85.7025,0.0,256,0.9113080000000409,74647.4192578125
3,-232101494.70000067,128822.40172126597,85.4131038312049,0.0,259,0.8576330000000656,69204.5913671875
4,-231948138.30000052,128808.62833333333,85.70027777777777,0.0,255,0.8037680000000904,65492.6059375
1,-232312024.70000038,129010.81916666667,85.64722222222223,1.0,256,0.965173000000016,78662.13625
5,-234465459.60000053,130098.40549542048,86.16125451013045,0.0,252,0.7496750000001153,65541.1794921875
6,-231720312.30000064,128610.79122709605,85.34675180455302,0.0,258,0.6959430000001401,8480.876127929687
7,-232989793.30000055,129387.18194444444,85.94,0.0,253,0.641964000000165,5108.080998535156
8,-234077120.1000002,129918.90755136036,86.17212659633537,0.0,250,0.5877760000001899,5967.862045898438
9,-233177529.70000032,129491.38027777777,86.10666666666667,1.0,250,0.5336260000002149,4421.517375488282
10,-234471756.10000053,130138.02470849529,86.1776790671849,0.9994447529150473,250,0.47943800000023984,6424.091711425781
11,-234762778.10000068,130371.92833333333,86.34916666666666,0.0,250,0.4252880000002648,18972.629516601562
12,-235610798.2000005,130842.70805555556,86.92138888888888,1.0,243,0.3707390000002899,48106.67759765625
13,-235713992.80000076,130899.96194444444,87.04916666666666,0.0,241,0.3160760000003151,2533.831655883789
14,-235425348.40000054,130739.4538888889,87.3,0.0,237,0.2611850000003404,4119.228697509766
15,-237256328.50000095,131756.33333333334,87.8536111111111,0.0,233,0.2060660000003658,2541.790380859375
16,-238106739.4000007,132228.35055555555,88.57777777777778,1.0,222,0.15032000000039147,6211.540407714844
17,-241733757.7000004,134242.16055555554,90.5813888888889,0.0,204,0.09354800000039465,7484.727802124024
18,-241008177.50000075,133838.07055555555,92.23416666666667,1.0,188,0.05,2787.4623608398438
19,-242185094.70000044,134452.77950569286,95.1863371285754,0.0,177,0.05,3930.2247747802735
20,-243880216.0000006,135432.0775,94.85305555555556,0.0,176,0.05,2938.1396020507814
