episode,total_reward,avg_waiting_time,avg_queue_length,throughput,num_completed,num_phase_changes
1,-267771178.4999998,148699.5922222222,103.6025,0.0,0,109
2,-259045301.9000006,143853.89583333334,100.24777777777778,0.0,0,109
3,-270212143.2000014,150055.2763888889,104.28138888888888,0.0,0,109
4,-286280778.5999997,158980.89138888888,106.6225,0.0,0,109
5,-270622640.1999999,150283.74694444446,103.58694444444444,0.0,0,109
6,-278896697.5000009,154879.35361111112,105.40666666666667,0.0,0,109
7,-273657400.39999986,151965.81083333332,110.11027777777778,0.0,0,109
8,-277735964.0999995,154235.00805555555,104.56277777777778,0.0,0,109
9,-277596349.1999996,154156.7888888889,105.655,0.0,0,109
10,-275638946.0000003,153068.95916666667,106.29416666666667,0.0,0,109
